,cellphone_id,brand,model,operating system,internal memory,RAM,performance,main camera,selfie camera,battery size,screen size,weight,price,release year,url,user_id,rating
0,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,8,5
1,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,16,1
2,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,30,4
3,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,35,6
4,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,52,5
5,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,98,10
6,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,145,8
7,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,148,10
8,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,162,7
9,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,178,9
10,0,apple,iphone se,ios,128,4,7.23,12,7,2018,4.7,144,429,2022,https://images.idgesg.net/images/article/2019/05/iphone-se-100795727-orig.jpg,204,9
